image-id,prediction
1,Jennifer Aniston
2,Daniel Craig
3,Steve Carell
4,Viggo Mortensen
5,Silvio Berlusconi
6,Jessica Simpson
7,Hugh Laurie
8,Keira Knightley
9,Zac Efron
10,Miley Cyrus
11,Jessica Simpson
12,Cristiano Ronaldo
13,Orlando Bloom
14,Leonardo DiCaprio
15,Katherine Heigl
16,Gwyneth Paltrow
17,Miley Cyrus
18,Viggo Mortensen
19,Jessica Alba
20,Keira Knightley
21,Jessica Alba
22,Ehud Olmert
23,Orlando Bloom
24,Jennifer Lopez
25,Orlando Bloom
26,Ashton Kutcher
27,Charlize Theron
28,Gwyneth Paltrow
29,David Duchovny
30,Kate Moss
31,Silvio Berlusconi
32,Sharon Stone
33,Ricky Martin
34,Cristiano Ronaldo
35,Miley Cyrus
36,Morgan Freeman
37,Dustin Hoffman
38,Martha Stewart
39,Harrison Ford
40,David Beckham
41,Jessica Alba
42,Matt Damon
43,Alec Baldwin
44,Orlando Bloom
45,Ashton Kutcher
46,Eva Mendes
47,Avril Lavigne
48,Eva Mendes
49,Meg Ryan
50,Tom Cruise
51,Eva Mendes
52,George Clooney
53,Colin Powell
54,Hugh Jackman
55,Shakira
56,Colin Powell
57,Hugh Jackman
58,Silvio Berlusconi
59,Kiefer Sutherland
60,Clive Owen
61,Jessica Alba
62,Ashton Kutcher
63,Eva Mendes
64,Miley Cyrus
65,Victoria Beckham
66,Scarlett Johansson
67,Shakira
68,Julia Stiles
69,Orlando Bloom
70,Sania Mirza
71,Matt Damon
72,Angelina Jolie
73,Hugh Laurie
74,Mickey Rourke
75,Robert Gates
76,Hugh Laurie
77,Orlando Bloom
78,Cate Blanchett
79,Jack Nicholson
80,Nicole Richie
81,Martha Stewart
82,Kiefer Sutherland
83,Keira Knightley
84,Jennifer Love Hewitt
85,Reese Witherspoon
86,Gwyneth Paltrow
87,Adam Sandler
88,Cameron Diaz
89,Miley Cyrus
90,Viggo Mortensen
91,Barack Obama
92,Orlando Bloom
93,Cameron Diaz
94,David Duchovny
95,Reese Witherspoon
96,Martha Stewart
97,Matt Damon
98,Nicole Kidman
99,Shakira
100,John Travolta
101,Charlize Theron
102,Avril Lavigne
103,Lindsay Lohan
104,Nicole Richie
105,Hugh Jackman
106,Claudia Schiffer
107,Kiefer Sutherland
108,Hugh Laurie
109,Jessica Simpson
110,Daniel Radcliffe
111,Meryl Streep
112,Morgan Freeman
113,Silvio Berlusconi
114,Michael Bloomberg
115,Daniel Radcliffe
116,David Duchovny
117,Kate Moss
118,Nicole Kidman
119,Shakira
120,Kiefer Sutherland
121,Angelina Jolie
122,Brad Pitt
123,Miley Cyrus
124,Leonardo DiCaprio
125,Viggo Mortensen
126,Gwyneth Paltrow
127,Tom Cruise
128,Joaquin Phoenix
129,Avril Lavigne
130,Eva Mendes
131,Gwyneth Paltrow
132,Miley Cyrus
133,Clive Owen
134,Cate Blanchett
135,David Beckham
136,David Duchovny
137,David Duchovny
138,George Clooney
139,Miley Cyrus
140,Hugh Laurie
141,Jennifer Aniston
142,Beyonce Knowles
143,Victoria Beckham
144,Daniel Radcliffe
145,Daniel Radcliffe
146,Ricky Martin
147,Ehud Olmert
148,Ehud Olmert
149,Miley Cyrus
150,Jennifer Lopez
151,Nicole Kidman
152,Joaquin Phoenix
153,Meg Ryan
154,Cristiano Ronaldo
155,George Clooney
156,Orlando Bloom
157,Daniel Radcliffe
158,Michael Bloomberg
159,Beyonce Knowles
160,Ricky Martin
161,Harrison Ford
162,Orlando Bloom
163,Tom Cruise
164,Anna Kournikova
165,Cameron Diaz
166,Morgan Freeman
167,Scarlett Johansson
168,Scarlett Johansson
169,Angelina Jolie
170,Shakira
171,Keira Knightley
172,Ricky Martin
173,Miley Cyrus
174,Daniel Craig
175,Viggo Mortensen
176,Harrison Ford
177,Hugh Jackman
178,Cameron Diaz
179,Colin Powell
180,Miley Cyrus
181,Harrison Ford
182,Jennifer Love Hewitt
183,Eva Mendes
184,Sharon Stone
185,Meg Ryan
186,Silvio Berlusconi
187,Brad Pitt
188,Tom Cruise
189,Martha Stewart
190,Meg Ryan
191,Cameron Diaz
192,Orlando Bloom
193,Nicole Kidman
194,Charlize Theron
195,Renee Zellweger
196,Robert Gates
197,Scarlett Johansson
198,Miley Cyrus
199,Ehud Olmert
200,George Clooney
201,Cameron Diaz
202,David Beckham
203,Hugh Laurie
204,Sania Mirza
205,George Clooney
206,Robert Gates
207,David Beckham
208,Kiefer Sutherland
209,Tom Cruise
210,Hugh Laurie
211,Mickey Rourke
212,Orlando Bloom
213,Orlando Bloom
214,Viggo Mortensen
215,Cristiano Ronaldo
216,Harrison Ford
217,Reese Witherspoon
218,Shakira
219,Hugh Laurie
220,Alec Baldwin
221,Will Smith
222,Harrison Ford
223,Silvio Berlusconi
224,Keira Knightley
225,Barack Obama
226,Julia Roberts
227,Scarlett Johansson
228,Ben Affleck
229,Nicole Kidman
230,Barack Obama
231,Tom Cruise
232,Adam Sandler
233,David Beckham
234,Alec Baldwin
235,Daniel Craig
236,Meryl Streep
237,Orlando Bloom
238,Miley Cyrus
239,Avril Lavigne
240,Avril Lavigne
241,Robert Gates
242,Will Smith
243,Halle Berry
244,Keira Knightley
245,Martha Stewart
246,Halle Berry
247,Sharon Stone
248,Hugh Laurie
249,Avril Lavigne
250,Shakira
251,Nicole Kidman
252,Martha Stewart
253,Hugh Laurie
254,Jessica Alba
255,Orlando Bloom
256,Adam Sandler
257,Denise Richards
258,John Travolta
259,George Clooney
260,Christina Ricci
261,Matt Damon
262,Nicole Kidman
263,Anna Kournikova
264,Jessica Alba
265,Kiefer Sutherland
266,Barack Obama
267,Cristiano Ronaldo
268,Jessica Simpson
269,Martha Stewart
270,Kiefer Sutherland
271,Hugh Laurie
272,Sania Mirza
273,Leonardo DiCaprio
274,Morgan Freeman
275,Ashton Kutcher
276,Avril Lavigne
277,Reese Witherspoon
278,Shakira
279,Clive Owen
280,Daniel Radcliffe
281,Viggo Mortensen
282,Hugh Laurie
283,Gordon Brown
284,Stephen Colbert
285,Cristiano Ronaldo
286,Michael Bloomberg
287,Robert Gates
288,Joaquin Phoenix
289,Gordon Brown
290,John Travolta
291,Miley Cyrus
292,Avril Lavigne
293,Will Smith
294,Jennifer Lopez
295,Jennifer Aniston
296,Ricky Martin
297,Eva Mendes
298,Meryl Streep
299,Orlando Bloom
300,Nicole Richie
301,Tom Cruise
302,Avril Lavigne
303,Matt Damon
304,Jennifer Aniston
305,Morgan Freeman
306,Jessica Simpson
307,Leonardo DiCaprio
308,Clive Owen
309,Keira Knightley
310,Michael Bloomberg
311,Kiefer Sutherland
312,Barack Obama
313,Gwyneth Paltrow
314,Hugh Laurie
315,Will Smith
316,Robert Gates
317,Shahrukh Khan
318,Reese Witherspoon
319,Shakira
320,Jessica Alba
321,Alec Baldwin
322,Steve Carell
323,Angelina Jolie
324,Cristiano Ronaldo
325,Meg Ryan
326,George Clooney
327,Barack Obama
328,Keira Knightley
329,Ashton Kutcher
330,Clive Owen
331,Keira Knightley
332,Ashton Kutcher
333,Avril Lavigne
334,Cate Blanchett
335,Jennifer Aniston
336,Reese Witherspoon
337,Jessica Alba
338,George Clooney
339,Orlando Bloom
340,Keira Knightley
341,Angelina Jolie
342,Avril Lavigne
343,Orlando Bloom
344,Clive Owen
345,John Travolta
346,Ricky Martin
347,Reese Witherspoon
348,Anna Kournikova
349,Keira Knightley
350,Viggo Mortensen
351,Kate Winslet
352,George Clooney
353,Hugh Laurie
354,Alec Baldwin
355,Barack Obama
356,Scarlett Johansson
357,Gwyneth Paltrow
358,George Clooney
359,Joaquin Phoenix
360,Jessica Simpson
361,Cameron Diaz
362,Joaquin Phoenix
363,Scarlett Johansson
364,Lindsay Lohan
365,Keira Knightley
366,Jessica Simpson
367,Colin Powell
368,Jack Nicholson
369,Sharon Stone
370,Daniel Craig
371,Meryl Streep
372,Keira Knightley
373,Ricky Martin
374,David Duchovny
375,Tom Cruise
376,Matt Damon
377,Shakira
378,Jennifer Lopez
379,Jennifer Aniston
380,Julia Stiles
381,David Beckham
382,Nicole Kidman
383,Joaquin Phoenix
384,Daniel Radcliffe
385,Mickey Rourke
386,Kate Winslet
387,Charlize Theron
388,Colin Powell
389,Meryl Streep
390,Cristiano Ronaldo
391,Daniel Radcliffe
392,Ehud Olmert
393,Sania Mirza
394,Clive Owen
395,Gordon Brown
396,George Clooney
397,Kate Moss
398,Joaquin Phoenix
399,Avril Lavigne
400,Keira Knightley
401,Adam Sandler
402,Martha Stewart
403,Leonardo DiCaprio
404,Michael Bloomberg
405,Ricky Martin
406,Will Smith
407,Brad Pitt
408,Steve Carell
409,Scarlett Johansson
410,Orlando Bloom
411,Cameron Diaz
412,Silvio Berlusconi
413,Keira Knightley
414,Ricky Martin
415,Shakira
416,Barack Obama
417,David Beckham
418,Robert Gates
419,Orlando Bloom
420,Kiefer Sutherland
421,Charlize Theron
422,Ehud Olmert
423,Adam Sandler
424,Jennifer Aniston
425,Michael Bloomberg
426,Jessica Simpson
427,Daniel Radcliffe
428,Viggo Mortensen
429,Orlando Bloom
430,Kiefer Sutherland
431,Cate Blanchett
432,Silvio Berlusconi
433,David Beckham
434,Alec Baldwin
435,Meg Ryan
436,Nicole Kidman
437,Claudia Schiffer
438,Scarlett Johansson
439,Katherine Heigl
440,Jessica Simpson
441,Barack Obama
442,Daniel Radcliffe
443,Gwyneth Paltrow
444,Jennifer Aniston
445,Avril Lavigne
446,Leonardo DiCaprio
447,Colin Farrell
448,Jennifer Aniston
449,Beyonce Knowles
450,Ricky Martin
451,Avril Lavigne
452,George Clooney
453,Jessica Simpson
454,Morgan Freeman
455,Julia Stiles
456,Jennifer Love Hewitt
457,Nicole Kidman
458,Hugh Laurie
459,Miley Cyrus
460,Uma Thurman
461,Hugh Laurie
462,Colin Farrell
463,Dustin Hoffman
464,Charlize Theron
465,Meg Ryan
466,Keira Knightley
467,Will Smith
468,Meryl Streep
469,Leonardo DiCaprio
470,David Duchovny
471,Miley Cyrus
472,Tom Cruise
473,Michael Bloomberg
474,Miley Cyrus
475,David Duchovny
476,Harrison Ford
477,Nicole Kidman
478,Keira Knightley
479,Angelina Jolie
480,Colin Powell
481,Brad Pitt
482,Will Smith
483,John Travolta
484,Stephen Colbert
485,Eva Mendes
486,Tom Cruise
487,Julia Stiles
488,Cate Blanchett
489,Julia Stiles
490,Leonardo DiCaprio
491,Jessica Simpson
492,George Clooney
493,Cristiano Ronaldo
494,Uma Thurman
495,Lindsay Lohan
496,Lindsay Lohan
497,Charlize Theron
498,George Clooney
499,Anna Kournikova
500,Harrison Ford
501,Harrison Ford
502,Jessica Alba
503,Victoria Beckham
504,Shakira
505,Gwyneth Paltrow
506,Anna Kournikova
507,Daniel Radcliffe
508,Julia Stiles
509,Scarlett Johansson
510,Jessica Simpson
511,Keira Knightley
512,Scarlett Johansson
513,Miley Cyrus
514,Christina Ricci
515,Michael Bloomberg
516,Reese Witherspoon
517,Scarlett Johansson
518,Nicole Kidman
519,Avril Lavigne
520,Ricky Martin
521,Hugh Laurie
522,Anna Kournikova
523,Daniel Craig
524,Miley Cyrus
525,Jessica Simpson
526,Viggo Mortensen
527,Brad Pitt
528,Sania Mirza
529,Scarlett Johansson
530,Daniel Radcliffe
531,Lindsay Lohan
532,Daniel Radcliffe
533,Jessica Simpson
534,Anna Kournikova
535,David Beckham
536,Harrison Ford
537,Viggo Mortensen
538,Hugh Jackman
539,Cristiano Ronaldo
540,Keira Knightley
541,Scarlett Johansson
542,Martha Stewart
543,Avril Lavigne
544,Meryl Streep
545,Anna Kournikova
546,Clive Owen
547,Uma Thurman
548,Colin Powell
549,Michael Bloomberg
550,Meg Ryan
551,Daniel Craig
552,Lindsay Lohan
553,Angelina Jolie
554,Mariah Carey
555,David Duchovny
556,Michael Bloomberg
557,Alec Baldwin
558,Faith Hill
559,Shakira
560,Cameron Diaz
561,Scarlett Johansson
562,Eva Mendes
563,Orlando Bloom
564,Dustin Hoffman
565,Ben Affleck
566,Adam Sandler
567,Sania Mirza
568,Daniel Radcliffe
569,Jessica Simpson
570,Kiefer Sutherland
571,Daniel Craig
572,Martha Stewart
573,Kiefer Sutherland
574,Keira Knightley
575,Ricky Martin
576,Denise Richards
577,Hugh Jackman
578,Will Smith
579,Lindsay Lohan
580,Zac Efron
581,Orlando Bloom
582,Hugh Laurie
583,Keira Knightley
584,Daniel Radcliffe
585,Scarlett Johansson
586,Orlando Bloom
587,Clive Owen
588,Adam Sandler
589,Cameron Diaz
590,Christina Ricci
591,Miley Cyrus
592,Cameron Diaz
593,Jessica Simpson
594,Harrison Ford
595,Adam Sandler
596,Stephen Colbert
597,Sharon Stone
598,Leonardo DiCaprio
599,Keira Knightley
600,Jack Nicholson
601,Michael Bloomberg
602,Jennifer Love Hewitt
